#Simulating carrier transport - 2024.03.07 20:44:30 TEflow(0.2.6a1)
#T  EF  N  C  S  PF  L  Ke
3.000000E+02 -5.270479E-02 1.000000E+00 9.374312E+02 1.032782E+02 9.998996E+00 1.896904E+00 5.334651E-01
3.000000E+02 -8.733306E-02 2.000000E+00 1.418325E+03 7.290250E+01 7.538079E+00 2.227065E+00 9.476108E-01
3.000000E+02 -1.111796E-01 3.000000E+00 1.746592E+03 6.285578E+01 6.900520E+00 2.493706E+00 1.306646E+00
3.000000E+02 -1.294736E-01 4.000000E+00 2.006621E+03 6.054093E+01 7.354674E+00 2.705287E+00 1.628546E+00
3.000000E+02 -1.441210E-01 5.000000E+00 2.234938E+03 6.186992E+01 8.555090E+00 2.854677E+00 1.914008E+00
3.000000E+02 -1.561532E-01 6.000000E+00 2.449361E+03 6.476136E+01 1.027270E+01 2.940973E+00 2.161051E+00
3.000000E+02 -1.662459E-01 7.000000E+00 2.658336E+03 6.802948E+01 1.230281E+01 2.972964E+00 2.370941E+00
3.000000E+02 -1.748764E-01 8.000000E+00 2.865407E+03 7.104444E+01 1.446260E+01 2.964550E+00 2.548393E+00
3.000000E+02 -1.823895E-01 9.000000E+00 3.071685E+03 7.352841E+01 1.660684E+01 2.929687E+00 2.699723E+00
3.000000E+02 -1.890366E-01 1.000000E+01 3.277196E+03 7.540630E+01 1.863450E+01 2.879709E+00 2.831212E+00
3.000000E+02 -2.143261E-01 1.500000E+01 4.278939E+03 7.764645E+01 2.579760E+01 2.604081E+00 3.342811E+00
3.000000E+02 -2.326819E-01 2.000000E+01 5.213433E+03 7.406743E+01 2.860081E+01 2.423821E+00 3.790928E+00
3.000000E+02 -2.477039E-01 2.500000E+01 6.075443E+03 6.909821E+01 2.900759E+01 2.327768E+00 4.242667E+00
3.000000E+02 -2.607777E-01 3.000000E+01 6.873280E+03 6.417986E+01 2.831142E+01 2.280040E+00 4.701406E+00
3.000000E+02 -2.725632E-01 3.500000E+01 7.616933E+03 5.971491E+01 2.716100E+01 2.258750E+00 5.161425E+00
3.000000E+02 -2.834236E-01 4.000000E+01 8.315134E+03 5.577304E+01 2.586532E+01 2.251946E+00 5.617569E+00
3.000000E+02 -2.935795E-01 4.500000E+01 8.974963E+03 5.232039E+01 2.456827E+01 2.253081E+00 6.066397E+00
3.000000E+02 -3.031755E-01 5.000000E+01 9.602059E+03 4.929597E+01 2.333389E+01 2.258499E+00 6.505871E+00
3.000000E+02 -3.123116E-01 5.500000E+01 1.020092E+04 4.663736E+01 2.218744E+01 2.266110E+00 6.934922E+00
3.000000E+02 -3.210605E-01 6.000000E+01 1.077517E+04 4.428870E+01 2.113537E+01 2.274709E+00 7.353111E+00
3.000000E+02 -3.294769E-01 6.500000E+01 1.132774E+04 4.220247E+01 2.017525E+01 2.283597E+00 7.760396E+00
3.000000E+02 -3.376030E-01 7.000000E+01 1.186104E+04 4.033904E+01 1.930073E+01 2.292374E+00 8.156982E+00
3.000000E+02 -3.454722E-01 7.500000E+01 1.237709E+04 3.866557E+01 1.850407E+01 2.300816E+00 8.543220E+00
3.000000E+02 -3.531117E-01 8.000000E+01 1.287756E+04 3.715493E+01 1.777733E+01 2.308807E+00 8.919542E+00
3.000000E+02 -3.605440E-01 8.500000E+01 1.336389E+04 3.578463E+01 1.711300E+01 2.316296E+00 9.286419E+00
3.000000E+02 -3.677876E-01 9.000000E+01 1.383730E+04 3.453595E+01 1.650418E+01 2.323270E+00 9.644334E+00
3.000000E+02 -3.748585E-01 9.500000E+01 1.429883E+04 3.339324E+01 1.594475E+01 2.329740E+00 9.993766E+00
3.000000E+02 -3.817702E-01 1.000000E+02 1.474940E+04 3.234337E+01 1.542926E+01 2.335728E+00 1.033518E+01
