# T[K]   C[S/cm]   S[uV/K]  K[W/(m.K)]
300.0000 3269.4856 -81.4719 3.3229
305.0000 3191.7328 -83.0394 3.2534
310.0000 3113.8595 -84.6106 3.1862
315.0000 3036.0432 -86.1856 3.1212
320.0000 2958.4612 -87.7644 3.0583
325.0000 2881.2907 -89.3474 2.9975
330.0000 2804.7089 -90.9345 2.9388
335.0000 2728.8933 -92.5261 2.8820
340.0000 2654.0210 -94.1222 2.8272
345.0000 2580.2695 -95.7229 2.7742
350.0000 2507.8159 -97.3285 2.7229
355.0000 2436.8158 -98.9391 2.6734
360.0000 2367.3384 -100.5546 2.6256
365.0000 2299.4309 -102.1752 2.5793
370.0000 2233.1405 -103.8009 2.5346
375.0000 2168.5148 -105.4316 2.4914
380.0000 2105.5930 -107.0675 2.4497
385.0000 2044.3827 -108.7084 2.4093
390.0000 1984.8836 -110.3543 2.3703
395.0000 1927.0953 -112.0051 2.3326
400.0000 1871.0176 -113.6608 2.2962
405.0000 1816.6449 -115.3213 2.2609
410.0000 1763.9515 -116.9864 2.2268
415.0000 1712.9066 -118.6560 2.1937
420.0000 1663.4794 -120.3298 2.1618
425.0000 1615.6390 -122.0078 2.1308
430.0000 1569.3529 -123.6898 2.1009
435.0000 1524.5824 -125.3754 2.0719
440.0000 1481.2871 -127.0645 2.0437
445.0000 1439.4265 -128.7568 2.0165
450.0000 1398.9602 -130.4520 1.9900
455.0000 1359.8477 -132.1499 1.9643
460.0000 1322.0477 -133.8500 1.9394
465.0000 1285.5189 -135.5521 1.9152
470.0000 1250.2199 -137.2557 1.8917
475.0000 1216.1094 -138.9606 1.8688
480.0000 1183.1465 -140.6663 1.8466
485.0000 1151.2929 -142.3723 1.8249
490.0000 1120.5109 -144.0783 1.8038
495.0000 1090.7627 -145.7838 1.7832
500.0000 1062.0105 -147.4882 1.7632
505.0000 1034.2175 -149.1912 1.7436
510.0000 1007.3500 -150.8922 1.7245
515.0000 981.3755 -152.5906 1.7058
520.0000 956.2613 -154.2859 1.6876
525.0000 931.9746 -155.9775 1.6697
530.0000 908.4838 -157.6648 1.6522
535.0000 885.7604 -159.3473 1.6351
540.0000 863.7771 -161.0241 1.6183
545.0000 842.5064 -162.6948 1.6018
550.0000 821.9209 -164.3585 1.5857
555.0000 801.9940 -166.0148 1.5698
560.0000 782.7022 -167.6627 1.5543
565.0000 764.0229 -169.3016 1.5390
570.0000 745.9334 -170.9307 1.5239
575.0000 728.4110 -172.5492 1.5091
580.0000 711.4339 -174.1564 1.4946
585.0000 694.9826 -175.7514 1.4803
590.0000 679.0388 -177.3334 1.4663
595.0000 663.5837 -178.9016 1.4524
600.0000 648.5990 -180.4550 1.4388
605.0000 634.0665 -181.9928 1.4254
610.0000 619.9707 -183.5141 1.4123
615.0000 606.2962 -185.0179 1.3993
620.0000 593.0281 -186.5032 1.3866
625.0000 580.1511 -187.9692 1.3741
630.0000 567.6505 -189.4148 1.3618
635.0000 555.5137 -190.8390 1.3498
640.0000 543.7281 -192.2407 1.3380
645.0000 532.2816 -193.6190 1.3264
650.0000 521.1616 -194.9726 1.3151
655.0000 510.3562 -196.3007 1.3041
660.0000 499.8551 -197.6020 1.2933
665.0000 489.6480 -198.8754 1.2828
670.0000 479.7250 -200.1198 1.2726
675.0000 470.0758 -201.3340 1.2627
680.0000 460.6908 -202.5168 1.2532
685.0000 451.5614 -203.6670 1.2440
690.0000 442.6792 -204.7833 1.2351
695.0000 434.0361 -205.8645 1.2266
700.0000 425.6238 -206.9094 1.2185
705.0000 417.4342 -207.9167 1.2108
710.0000 409.4604 -208.8851 1.2035
715.0000 401.6955 -209.8132 1.1967
720.0000 394.1328 -210.6996 1.1904
725.0000 386.7655 -211.5430 1.1846
730.0000 379.5870 -212.3421 1.1793
735.0000 372.5914 -213.0954 1.1746
740.0000 365.7732 -213.8016 1.1705
745.0000 359.1267 -214.4590 1.1669
750.0000 352.6462 -215.0664 1.1641
755.0000 346.3262 -215.6222 1.1619
760.0000 340.1622 -216.1249 1.1604
765.0000 334.1496 -216.5729 1.1596
770.0000 328.2840 -216.9648 1.1596
775.0000 322.5608 -217.2988 1.1605
780.0000 316.9755 -217.5735 1.1622
785.0000 311.5238 -217.7872 1.1648
790.0000 306.2011 -217.9385 1.1683
795.0000 301.0030 -218.0257 1.1728
800.0000 295.9249 -218.0473 1.1783
