# Engineering performance (L=1mm, A=100mm^2) - 2023.10.10 20:01:43 TEflow(0.0.1a3)
# Tc     Th       PFeng  ZTeng  Pout   Yita
300.0000 305.0000 0.0109 0.0033 0.0014 0.0756
300.0000 310.0000 0.0220 0.0068 0.0055 0.1535
300.0000 315.0000 0.0332 0.0103 0.0125 0.2334
300.0000 320.0000 0.0445 0.0140 0.0223 0.3154
300.0000 325.0000 0.0560 0.0177 0.0350 0.3994
300.0000 330.0000 0.0675 0.0216 0.0506 0.4853
300.0000 335.0000 0.0792 0.0256 0.0693 0.5730
300.0000 340.0000 0.0909 0.0297 0.0909 0.6623
300.0000 345.0000 0.1026 0.0338 0.1155 0.7533
300.0000 350.0000 0.1145 0.0381 0.1431 0.8458
300.0000 355.0000 0.1263 0.0424 0.1737 0.9397
300.0000 360.0000 0.1382 0.0468 0.2074 1.0351
300.0000 365.0000 0.1502 0.0514 0.2440 1.1317
300.0000 370.0000 0.1621 0.0559 0.2837 1.2295
300.0000 375.0000 0.1741 0.0606 0.3264 1.3284
300.0000 380.0000 0.1860 0.0653 0.3721 1.4284
300.0000 385.0000 0.1980 0.0701 0.4207 1.5293
300.0000 390.0000 0.2099 0.0750 0.4723 1.6312
300.0000 395.0000 0.2218 0.0799 0.5269 1.7339
300.0000 400.0000 0.2337 0.0849 0.5844 1.8374
300.0000 405.0000 0.2456 0.0900 0.6447 1.9415
300.0000 410.0000 0.2575 0.0951 0.7080 2.0463
300.0000 415.0000 0.2692 0.1003 0.7741 2.1517
300.0000 420.0000 0.2810 0.1055 0.8430 2.2576
300.0000 425.0000 0.2927 0.1107 0.9147 2.3640
300.0000 430.0000 0.3043 0.1160 0.9891 2.4708
300.0000 435.0000 0.3159 0.1213 1.0663 2.5779
300.0000 440.0000 0.3275 0.1267 1.1461 2.6854
300.0000 445.0000 0.3389 0.1321 1.2286 2.7931
300.0000 450.0000 0.3503 0.1376 1.3138 2.9011
300.0000 455.0000 0.3617 0.1431 1.4015 3.0092
300.0000 460.0000 0.3729 0.1486 1.4917 3.1175
300.0000 465.0000 0.3841 0.1541 1.5845 3.2258
300.0000 470.0000 0.3952 0.1597 1.6798 3.3342
300.0000 475.0000 0.4063 0.1653 1.7775 3.4427
300.0000 480.0000 0.4172 0.1709 1.8776 3.5511
300.0000 485.0000 0.4281 0.1765 1.9800 3.6595
300.0000 490.0000 0.4389 0.1822 2.0848 3.7678
300.0000 495.0000 0.4496 0.1879 2.1919 3.8760
300.0000 500.0000 0.4602 0.1936 2.3012 3.9841
300.0000 505.0000 0.4708 0.1993 2.4128 4.0921
