#T(both) R(#1)   S(#1)   K(#1)  R(#2)  S(#2)    K(#2)
300.0000 3.0586 -81.4719 3.3229 7.1097 105.8429 2.5201
305.0000 3.1331 -83.0394 3.2534 7.1636 108.2697 2.4739
310.0000 3.2114 -84.6106 3.1862 7.2268 110.7767 2.4274
315.0000 3.2938 -86.1856 3.1212 7.2994 113.3408 2.3809
320.0000 3.3801 -87.7644 3.0583 7.3816 115.9389 2.3348
325.0000 3.4707 -89.3474 2.9975 7.4737 118.5480 2.2896
330.0000 3.5654 -90.9345 2.9388 7.5759 121.1449 2.2455
335.0000 3.6645 -92.5261 2.8820 7.6884 123.7067 2.2029
340.0000 3.7679 -94.1222 2.8272 7.8119 126.2101 2.1623
345.0000 3.8756 -95.7229 2.7742 7.9466 128.6321 2.1240
350.0000 3.9875 -97.3285 2.7229 8.0931 130.9497 2.0883
355.0000 4.1037 -98.9391 2.6734 8.2518 133.1516 2.0555
360.0000 4.2242 -100.5546 2.6256 8.4225 135.2739 2.0248
365.0000 4.3489 -102.1752 2.5793 8.6046 137.3649 1.9955
370.0000 4.4780 -103.8009 2.5346 8.7973 139.4725 1.9668
375.0000 4.6115 -105.4316 2.4914 8.9998 141.6447 1.9378
380.0000 4.7493 -107.0675 2.4497 9.2111 143.9178 1.9079
385.0000 4.8915 -108.7084 2.4093 9.4307 146.2802 1.8776
390.0000 5.0381 -110.3543 2.3703 9.6585 148.7082 1.8478
395.0000 5.1892 -112.0051 2.3326 9.8939 151.1784 1.8191
400.0000 5.3447 -113.6608 2.2962 10.1364 153.6672 1.7924
405.0000 5.5047 -115.3213 2.2609 10.3854 156.1545 1.7680
410.0000 5.6691 -116.9864 2.2268 10.6402 158.6339 1.7455
415.0000 5.8380 -118.6560 2.1937 10.9003 161.1021 1.7241
420.0000 6.0115 -120.3298 2.1618 11.1647 163.5562 1.7030
425.0000 6.1895 -122.0078 2.1308 11.4327 165.9930 1.6813
430.0000 6.3721 -123.6898 2.1009 11.7033 168.4117 1.6586
435.0000 6.5592 -125.3754 2.0719 11.9766 170.8205 1.6352
440.0000 6.7509 -127.0645 2.0437 12.2531 173.2297 1.6120
445.0000 6.9472 -128.7568 2.0165 12.5334 175.6499 1.5897
450.0000 7.1482 -130.4520 1.9900 12.8183 178.0913 1.5690
455.0000 7.3538 -132.1499 1.9643 13.1084 180.5642 1.5504
460.0000 7.5640 -133.8500 1.9394 13.4035 183.0776 1.5334
