# Engineering performance (L=1mm, A=100mm^2) - 2023.10.10 20:02:21 TEflow(0.0.1a3)
# Tc     Th       PFeng  ZTeng  Pout   Yita
300.0000 305.0000 0.0078 0.0024 0.0010 0.0569
300.0000 310.0000 0.0158 0.0050 0.0039 0.1168
300.0000 315.0000 0.0241 0.0077 0.0090 0.1795
300.0000 320.0000 0.0326 0.0106 0.0163 0.2452
300.0000 325.0000 0.0414 0.0136 0.0259 0.3136
300.0000 330.0000 0.0504 0.0168 0.0378 0.3849
300.0000 335.0000 0.0596 0.0200 0.0522 0.4589
300.0000 340.0000 0.0691 0.0235 0.0691 0.5354
300.0000 345.0000 0.0787 0.0270 0.0885 0.6144
300.0000 350.0000 0.0885 0.0307 0.1106 0.6957
300.0000 355.0000 0.0984 0.0344 0.1353 0.7792
300.0000 360.0000 0.1085 0.0383 0.1627 0.8646
300.0000 365.0000 0.1186 0.0423 0.1928 0.9518
300.0000 370.0000 0.1289 0.0464 0.2255 1.0407
300.0000 375.0000 0.1392 0.0506 0.2610 1.1312
300.0000 380.0000 0.1496 0.0549 0.2992 1.2232
300.0000 385.0000 0.1601 0.0592 0.3401 1.3169
300.0000 390.0000 0.1706 0.0637 0.3839 1.4120
300.0000 395.0000 0.1812 0.0683 0.4304 1.5087
300.0000 400.0000 0.1919 0.0729 0.4797 1.6067
300.0000 405.0000 0.2026 0.0777 0.5319 1.7062
300.0000 410.0000 0.2134 0.0825 0.5869 1.8069
300.0000 415.0000 0.2243 0.0874 0.6447 1.9088
300.0000 420.0000 0.2351 0.0924 0.7054 2.0119
300.0000 425.0000 0.2460 0.0975 0.7689 2.1162
300.0000 430.0000 0.2570 0.1026 0.8352 2.2215
300.0000 435.0000 0.2680 0.1078 0.9044 2.3279
300.0000 440.0000 0.2790 0.1131 0.9765 2.4353
300.0000 445.0000 0.2900 0.1185 1.0514 2.5437
300.0000 450.0000 0.3011 0.1240 1.1291 2.6530
300.0000 455.0000 0.3122 0.1295 1.2097 2.7633
300.0000 460.0000 0.3233 0.1351 1.2932 2.8745
300.0000 465.0000 0.3345 0.1408 1.3796 2.9866
300.0000 470.0000 0.3456 0.1466 1.4689 3.0995
300.0000 475.0000 0.3568 0.1524 1.5611 3.2133
300.0000 480.0000 0.3681 0.1584 1.6563 3.3280
300.0000 485.0000 0.3793 0.1644 1.7544 3.4436
300.0000 490.0000 0.3907 0.1704 1.8556 3.5602
300.0000 495.0000 0.4020 0.1766 1.9599 3.6777
300.0000 500.0000 0.4134 0.1829 2.0672 3.7962
300.0000 505.0000 0.4249 0.1892 2.1776 3.9156
300.0000 510.0000 0.4364 0.1956 2.2912 4.0359
300.0000 515.0000 0.4480 0.2021 2.4079 4.1571
300.0000 520.0000 0.4596 0.2087 2.5277 4.2791
300.0000 525.0000 0.4712 0.2154 2.6506 4.4018
300.0000 530.0000 0.4829 0.2221 2.7764 4.5252
300.0000 535.0000 0.4945 0.2289 2.9053 4.6491
300.0000 540.0000 0.5062 0.2358 3.0370 4.7734
300.0000 545.0000 0.5178 0.2427 3.1715 4.8981
300.0000 550.0000 0.5294 0.2497 3.3088 5.0231
300.0000 555.0000 0.5410 0.2568 3.4489 5.1482
300.0000 560.0000 0.5525 0.2638 3.5915 5.2736
300.0000 565.0000 0.5641 0.2710 3.7369 5.3990
300.0000 570.0000 0.5755 0.2781 3.8848 5.5245
300.0000 575.0000 0.5870 0.2853 4.0354 5.6501
300.0000 580.0000 0.5984 0.2926 4.1885 5.7758
300.0000 585.0000 0.6097 0.2999 4.3442 5.9015
300.0000 590.0000 0.6210 0.3072 4.5024 6.0274
300.0000 595.0000 0.6323 0.3146 4.6632 6.1533
300.0000 600.0000 0.6435 0.3220 4.8265 6.2791
300.0000 605.0000 0.6547 0.3295 4.9923 6.4050
300.0000 610.0000 0.6659 0.3370 5.1604 6.5308
300.0000 615.0000 0.6769 0.3445 5.3309 6.6565
300.0000 620.0000 0.6880 0.3521 5.5038 6.7821
300.0000 625.0000 0.6989 0.3597 5.6788 6.9074
300.0000 630.0000 0.7098 0.3673 5.8561 7.0326
300.0000 635.0000 0.7206 0.3749 6.0354 7.1574
300.0000 640.0000 0.7314 0.3825 6.2169 7.2821
300.0000 645.0000 0.7421 0.3902 6.4003 7.4064
300.0000 650.0000 0.7527 0.3979 6.5858 7.5304
300.0000 655.0000 0.7632 0.4056 6.7732 7.6540
300.0000 660.0000 0.7736 0.4133 6.9624 7.7772
300.0000 665.0000 0.7840 0.4210 7.1536 7.9000
300.0000 670.0000 0.7942 0.4287 7.3465 8.0224
300.0000 675.0000 0.8044 0.4364 7.5413 8.1443
300.0000 680.0000 0.8145 0.4442 7.7378 8.2658
300.0000 685.0000 0.8245 0.4519 7.9359 8.3868
300.0000 690.0000 0.8344 0.4597 8.1358 8.5073
300.0000 695.0000 0.8443 0.4674 8.3373 8.6273
300.0000 700.0000 0.8540 0.4751 8.5403 8.7468
300.0000 705.0000 0.8637 0.4828 8.7449 8.8657
300.0000 710.0000 0.8733 0.4906 8.9509 8.9840
300.0000 715.0000 0.8827 0.4983 9.1582 9.1015
300.0000 720.0000 0.8921 0.5059 9.3668 9.2183
300.0000 725.0000 0.9013 0.5136 9.5764 9.3342
300.0000 730.0000 0.9104 0.5212 9.7869 9.4490
300.0000 735.0000 0.9194 0.5287 9.9981 9.5628
300.0000 740.0000 0.9282 0.5362 10.2098 9.6754
300.0000 745.0000 0.9368 0.5436 10.4219 9.7867
300.0000 750.0000 0.9453 0.5510 10.6342 9.8967
300.0000 755.0000 0.9536 0.5583 10.8467 10.0053
300.0000 760.0000 0.9617 0.5654 11.0593 10.1125
300.0000 765.0000 0.9696 0.5725 11.2718 10.2182
300.0000 770.0000 0.9774 0.5795 11.4842 10.3224
300.0000 775.0000 0.9850 0.5864 11.6964 10.4250
300.0000 780.0000 0.9924 0.5932 11.9083 10.5260
300.0000 785.0000 0.9996 0.5999 12.1199 10.6253
300.0000 790.0000 1.0066 0.6065 12.3310 10.7230
300.0000 795.0000 1.0135 0.6130 12.5416 10.8189
300.0000 800.0000 1.0201 0.6193 12.7516 10.9130
