#Formated thermoelectric data - 2025.03.02 16:37:31 TEflow(0.4.5a1)
#T  C  S  K
300.0000 201.1894 105.1351 1.6131
323.0000 196.1635 114.3518 1.5632
348.0000 189.2628 121.7245 1.5091
373.0000 181.4198 127.4875 1.4556
398.0000 173.2052 132.8183 1.4033
423.0000 165.1897 138.8940 1.3525
448.0000 157.7553 146.4475 1.3038
473.0000 150.3375 153.9799 1.2575
498.0000 142.2977 159.7856 1.2141
523.0000 134.3439 165.1433 1.1738
548.0000 127.4973 172.0412 1.1369
573.0000 121.3752 179.4704 1.1034
598.0000 115.1151 185.4464 1.0738
623.0000 108.9068 190.5926 1.0495
648.0000 103.3591 196.5189 1.0322
673.0000 98.5299 202.9587 1.0236
698.0000 94.1912 208.6197 1.0251
723.0000 90.4382 212.7236 1.0354
748.0000 87.5720 214.8233 1.0527
773.0000 85.8966 214.4771 1.0761
798.0000 85.7163 211.2432 1.1047
823.0000 87.3353 204.6798 1.1378
