##Thermal_diffusivity

##General_information
#Database,20250119.mdb
#Instrument,#LFA_457
#Identity,mgsb
#Date,2025-02-23
#Material,Pyroceram
#Ref_temperature /C,25.0
#Ref_density /(g/cm^3),2.602
#Sample,SM2.1BI2
#Type,#Single_layer
#Coating,---
#Thickness_RT/mm,2.1500
#Diameter/mm,12.700
#Sensor,InSb
#Beam_enlargement/mm,12.7
#Laser_filter/mm,100.0
#Atmosphere,Ar
#Gas_flow/(ml/min),100.00
#Laboratory,529
#Operator,syx
#Customer,518
#Remark_mment,---
#Cp_table,pyroceram9606.cpe
#Expansion_table,Pyroceram9606.scl
#Temp_recalib_file,#undefined
#Purge_gas,1
#CalcCode,标准+脉冲修正/l/1-1-0

##Results
#Time/min,#Shot_number,#Temperature/℃,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
0.0,1,30.9,标准+脉冲修正(l),2.115,0.1,1634.0,286.9,3.089,50.0,0.3573
1.7,2,30.7,标准+脉冲修正(l),2.131,0.2,1634.0,286.6,5.658,91.0,0.3636
3.5,3,30.5,标准+脉冲修正(l),2.114,0.1,1634.0,285.1,5.585,89.0,0.36
5.1,4,30.2,标准+脉冲修正(l),2.132,0.2,1634.0,285.6,5.638,91.0,0.3605
6.8,5,30.2,标准+脉冲修正(l),2.136,0.2,1634.0,285.9,5.592,91.0,0.3596
#Mean,,30.5,,2.126,,,,,,
#Std_Dev,,0.3,,0.010,,,,,,
40.6,6,50.3,标准+脉冲修正(l),2.035,0.1,1634.0,299.0,9.228,91.0,0.3602
42.2,7,50.3,标准+脉冲修正(l),2.039,0.1,1634.0,298.1,5.496,55.0,0.3611
44.0,8,50.3,标准+脉冲修正(l),2.034,0.2,1634.0,298.8,5.569,56.0,0.3607
#Mean,,50.3,,2.036,,,,,,
#Std_Dev,,0.0,,0.003,,,,,,
97.5,9,100.0,标准+脉冲修正(l),1.815,0.1,1634.0,331.8,3.755,14.0,0.3619
99.2,10,100.1,标准+脉冲修正(l),1.821,0.1,1634.0,332.2,5.573,21.0,0.3627
101.0,11,100.1,标准+脉冲修正(l),1.825,0.1,1634.0,330.9,5.509,21.0,0.3589
#Mean,,100.1,,1.820,,,,,,
#Std_Dev,,0.1,,0.005,,,,,,
149.8,12,150.1,标准+脉冲修正(l),1.628,0.1,1634.0,367.5,12.61,22.0,0.3616
151.4,13,149.9,标准+脉冲修正(l),1.634,0.1,1634.0,367.2,5.698,10.0,0.3638
153.1,14,149.9,标准+脉冲修正(l),1.634,0.1,1634.0,366.6,5.646,10.0,0.3598
#Mean,,150.0,,1.632,,,,,,
#Std_Dev,,0.1,,0.004,,,,,,
197.2,15,200.1,标准+脉冲修正(l),1.486,0.1,1634.0,399.5,10.26,10.0,0.3649
198.7,16,200.1,标准+脉冲修正(l),1.486,0.1,1634.0,400.3,6.07,6.0,0.3594
200.3,17,200.1,标准+脉冲修正(l),1.486,0.2,1634.0,400.1,6.073,6.0,0.3607
#Mean,,200.1,,1.486,,,,,,
#Std_Dev,,0.0,,0.000,,,,,,
242.8,18,250.4,标准+脉冲修正(l),1.357,0.1,1634.0,433.2,9.797,6.0,0.3641
244.6,19,250.4,标准+脉冲修正(l),1.363,0.2,1634.0,433.1,6.502,4.0,0.3619
246.3,20,250.3,标准+脉冲修正(l),1.363,0.2,1634.0,433.2,6.493,4.0,0.363
#Mean,,250.4,,1.361,,,,,,
#Std_Dev,,0.0,,0.003,,,,,,
281.3,21,300.8,标准+脉冲修正(l),1.263,0.1,1634.0,461.6,9.533,4.0,0.363
283.0,22,300.6,标准+脉冲修正(l),1.258,0.1,1634.0,461.3,7.25,3.0,0.3651
285.3,23,300.4,标准+脉冲修正(l),1.249,0.1,1634.0,460.0,7.235,3.0,0.3617
#Mean,,300.6,,1.257,,,,,,
#Std_Dev,,0.2,,0.007,,,,,,
319.1,24,350.9,标准+脉冲修正(l),1.143,0.1,1634.0,491.1,4.864,3.0,0.3604
321.5,25,350.2,标准+脉冲修正(l),1.172,0.1,1634.0,495.4,6.24,4.0,0.3669
323.1,26,350.2,标准+脉冲修正(l),1.170,0.1,1634.0,496.6,6.275,4.0,0.3686
#Mean,,350.4,,1.161,,,,,,
#Std_Dev,,0.4,,0.016,,,,,,
356.6,27,401.0,标准+脉冲修正(l),1.089,0.1,1634.0,527.3,5.305,4.0,0.3704
358.2,28,400.9,标准+脉冲修正(l),1.056,0.1,1634.0,521.4,6.906,5.0,0.3628
360.5,29,400.2,标准+脉冲修正(l),1.099,0.1,1634.0,524.2,6.496,5.0,0.367
#Mean,,400.7,,1.081,,,,,,
#Std_Dev,,0.4,,0.023,,,,,,
399.6,30,451.2,标准+脉冲修正(l),1.029,0.1,1634.0,554.2,5.441,5.0,0.3694
401.2,31,451.1,标准+脉冲修正(l),1.031,0.2,1634.0,555.2,6.458,6.0,0.3652
