# T[K]     C[S/cm]     S[uV/K]    K[W/(m.K)]
300.000000 1406.529108 105.842880 2.520120
325.000000 1338.025342 118.547990 2.289570
350.000000 1235.620467 130.949690 2.088300
375.000000 1111.135803 141.644740 1.937770
400.000000 986.543546  153.667180 1.792350
425.000000 874.684020  165.993030 1.681330
450.000000 780.134651  178.091330 1.568950
475.000000 698.689956  190.948140 1.485170
500.000000 630.604497  205.094430 1.397650
525.000000 575.456769  218.595980 1.331920
550.000000 527.039776  229.480650 1.262790
575.000000 485.086030  238.620740 1.212720
600.000000 450.221284  247.002320 1.163680
625.000000 421.162577  253.601390 1.131330
650.000000 396.729363  258.342110 1.091490
675.000000 375.876262  262.324300 1.071730
700.000000 357.431355  266.230650 1.042450
725.000000 340.564656  269.188850 1.030190
750.000000 324.543611  268.885450 1.018610
775.000000 308.862183  267.861460 1.010770
800.000000 292.261785  268.354490 1.008390
