#  Tc[K]    Th[K] Yita[%]
300.0000 300.0000  0.0000 
300.0000 325.0000  0.4034 
300.0000 350.0000  0.8870 
300.0000 375.0000  1.4301 
300.0000 400.0000  2.0211 
300.0000 425.0000  2.6572 
300.0000 450.0000  3.3340 
300.0000 475.0000  4.0490 
300.0000 500.0000  4.8040 
300.0000 525.0000  5.5975 
300.0000 550.0000  6.4170 
300.0000 575.0000  7.2483 
300.0000 600.0000  8.0825 
300.0000 625.0000  8.9112 
300.0000 650.0000  9.7266 
300.0000 675.0000 10.5229
300.0000 700.0000 11.2981
300.0000 725.0000 12.0479
300.0000 750.0000 12.7581
300.0000 775.0000 13.4223
300.0000 800.0000 14.0384
