# Calculate ZTdev - 2023.09.21 01:34:54 TEflow(0.0.1a3)
# Tc     Th       Yita   ZTdev
300.0000 300.0000 0.0000 0.0000
300.0000 325.0000 0.4034 0.2242
300.0000 350.0000 0.8870 0.2610
300.0000 375.0000 1.4301 0.2965
300.0000 400.0000 2.0211 0.3315
300.0000 425.0000 2.6572 0.3676
300.0000 450.0000 3.3340 0.4048
300.0000 475.0000 4.0490 0.4435
300.0000 500.0000 4.8040 0.4845
300.0000 525.0000 5.5975 0.5279
300.0000 550.0000 6.4170 0.5726
300.0000 575.0000 7.2483 0.6175
300.0000 600.0000 8.0825 0.6621
300.0000 625.0000 8.9112 0.7058
300.0000 650.0000 9.7266 0.7482
300.0000 675.0000 10.5229 0.7890
300.0000 700.0000 11.2981 0.8281
300.0000 725.0000 12.0479 0.8652
300.0000 750.0000 12.7581 0.8991
300.0000 775.0000 13.4223 0.9292
300.0000 800.0000 14.0384 0.9553
